,Feature,Weight,AbsWeight
9,spy_ma_20,0.8528362572808765,0.8528362572808765
11,spy_lag_5,-0.8063173263078338,0.8063173263078338
12,vix_ma_5,0.6756653780254469,0.6756653780254469
14,vix_lag_1,-0.5531153146035762,0.5531153146035762
5,oil_ma_20,-0.3417864203243536,0.3417864203243536
4,oil_ma_5,0.25030224043654453,0.25030224043654453
10,spy_lag_1,0.22648582193952072,0.22648582193952072
15,vix_lag_5,-0.19730508899418414,0.19730508899418414
7,oil_lag_5,-0.16995143139826518,0.16995143139826518
13,vix_ma_20,-0.1553324229204354,0.1553324229204354
1,oil,-0.12058844269498627,0.12058844269498627
6,oil_lag_1,0.10557939779243426,0.10557939779243426
8,spy_ma_5,-0.10284800580532091,0.10284800580532091
2,spy,-0.07704571064681118,0.07704571064681118
3,vix,0.028103333987665163,0.028103333987665163
0,Unnamed: 0,0.021055841054654748,0.021055841054654748
